CODIGO;DESCRIPCION;stock_total;costo_normal;precio_mayor_normal;precio_docena_normal;precio_unidad_normal;costo_distribuidor;precio_mayor_dist;precio_docena_dist;precio_unidad_dist
HYG-01-7;LAMINA PAPEL BOPP DE 58*58 CM (PQT/20PCS);100;4.8;7.2;8.6;10.3;5.28;7.9;9.5;11.4
HYG-02-1;LAMINA DE PAPEL BOPP DE 50 CM*8 Y;30;4.41;6.6;7.9;9.5;4.85;7.3;8.8;10.6
HYG-02-2;LAMINA DE PAPEL BOPP DE 50 CM*8 Y;120;5.19;7.8;9.4;11.3;5.71;8.6;10.3;12.4
HYG-03;LAMINA DE PAPEL BOPP DE 50*70 CM (PQT/20PCS);100;5.19;7.8;9.4;11.3;5.71;8.6;10.3;12.4
HYG-04;LAMINA DE PAPEL BOPP DE 39*54 CM (PQT/15PCS);100;4.02;6;7.2;8.6;4.42;6.6;7.9;9.5
HYG-05;LAMINA DE PAPEL BOPP DE 60*60 CM (PQT/50PCS);50;9.6;14.4;17.3;20.8;10.56;15.8;19;22.8
HYG-06;LAMINA DE PAPEL BOPP DE 58*20 MTS;30;9.6;14.4;17.3;20.8;10.56;15.8;19;22.8
HYG-07;LAMINA DE PAPEL BOPP DE 58*58 CM (PQT/15PCS);80;7.59;11.4;13.7;16.4;8.35;12.5;15;18
HYG-08;LAMINA DE PAPEL BOPP DE 50*50 CM (PQT/40PCS);300;4.19;6.3;7.6;9.1;4.61;6.9;8.3;10
HYG-09;LAMINA DE PAPEL BOPP DE 50*55 CM (PQT/10PCS);150;6.42;9.6;11.5;13.8;7.06;10.6;12.7;15.2
HYG-10;LAMINA DE PAPEL BOPP DE 50*70 CM (PQT/20PCS);150;4.8;7.2;8.6;10.3;5.28;7.9;9.5;11.4
HYG-11;LAMINA DE PAPEL BOPP DE 60*60 CM (PQT/5PCS);50;6.03;9;10.8;13;6.63;9.9;11.9;14.3
HYG-12-1;LAMINA DE PAPEL BOPP DE 53*53 CM (PQT/10PCS);10;4.8;7.2;8.6;10.3;5.28;7.9;9.5;11.4
HYG-12-2;LAMINA DE PAPEL BOPP DE 53*53 CM (PQT/10PCS);90;4.41;6.6;7.9;9.5;4.85;7.3;8.8;10.6
HYG-13;LAMINA DE PAPEL BOPP DE 30*30 CM (PQT/50PCS);100;3.63;5.4;6.5;7.8;3.99;6;7.2;8.6
HYG-14;BOLSA PARA FLORES EN PAPEL KRAFT  DE 16.5*40 CM (PQT/30PCS);200;3.63;5.4;6.5;7.8;3.99;6;7.2;8.6
HYG-15;BOLSA PARA FLORES EN CELOFAN DE 15*48 CM (PQT/10PCS);300;3.24;4.9;5.9;7.1;3.56;5.3;6.4;7.7
HYG-16;BOLSA PARA FLORES EN CELOFAN DE 52.5*30 CM (PQT/20PCS);100;6.42;9.6;11.5;13.8;7.06;10.6;12.7;15.2
HYG-17;BOLSA PARA FLORES EN CELOFAN DE 60*15 CM (PQT/20PCS);250;4.02;6;7.2;8.6;4.42;6.6;7.9;9.5
HYG-18;BOLSA PARA FLORES EN CELOFAN DE 33*33 CM (PQT/10PCS);20;37.5;56.3;67.6;81.1;41.25;61.9;74.3;89.2
